ID,主字段,章节,知识解析,知识拓展
recveFKVuyN27s,"<div style=""text-align: center; font-size: 24px;""><b>麻黄汤</b></div>",解表剂::辛温解表剂,"方歌::[[麻黄汤中用桂枝]],[[杏仁炙草四般施]]。<br>[[恶寒发热头身痛]],[[外感风寒表实宜]]<br>###组成::[[「麻黄」、桂枝、杏仁、炙甘草]]<br>###主治::[[外感风寒表实证]]。恶寒发热，头身疼痛，无汗而喘，舌苔薄白，脉浮紧<br>###功用::[[发汗解表，宣肺平喘]]",用法::上四味，以水九升，先煮麻黄，减二升，去上沫，内诸药，煮取二升半，去滓，温服八合。覆取微似汗，不须啜粥，余如桂枝法将息<br>###加减::①(麻黄加术汤)加白术四两，功能发汗解表，散寒祛湿，治湿家身烦疼；<br>②(麻杏苡甘汤)去桂枝，加薏苡仁，功能解表祛湿，治风湿一身尽疼，发热，日哺所剧者；<br>③(大青龙汤)加石膏、生姜、大枣，麻黄、炙甘草用量增加一倍，功能发汗解表，清热除烦，治外感风寒，发热恶寒，寒热俱重，脉浮紧，身疼痛，不汗出而烦躁；<br>④(三拗汤)去桂枝，加姜五片，余药等分，功能宣肺解表，主治感冒风邪，鼻塞声重，语音不出，或伤风伤冷，头痛目眩，四肢拘挛，咳嗽痰多，胸满气短；<br>⑤(华盖散)去桂枝，加桑白皮、紫苏子、茯苓、陈皮，功能宣肺解表，祛痰止咳，主治肺感风寒，咳嗽上气，痰气不利，呀呷有声，脉浮紧者<br>###方解::<b>「君」：</b>麻黄:发汗解表，宣肺平喘<br><b>「臣」：</b>桂枝:解肌发表，温经散寒，通达营卫麻桂相须:①加强发汗解表之力；②温通经脉止痛；③发卫分之郁，透营分之邪<br><b>「佐」：</b>杏仁:降利肺气平喘杏麻相配:一宣一降，利肺平喘，复肺宣降，增强止咳平喘之功<br><b>「佐使」：</b>炙甘草:①调和麻杏宣降；②缓和麻桂峻烈<br>###注意::辛温发汗之峻剂，当中病即止，不可过服。疮家、淋家、蛔家、亡血家以及外感表虚自汗、血虚而脉见“尺中迟”、误下而见“身重心悸”，虽有表寒证，亦皆当禁用<br>###特点::外感风寒表实证基础方，辛温发汗法代表方
recveFKWJu4wzh,"<div style=""text-align: center; font-size: 24px;""><b>桂枝汤</b></div>",解表剂::辛温解表剂,"方歌::[[桂枝汤治太阳风]],[[芍药甘草姜枣同]]。<br>[[解肌发表调营卫]],[[风寒表虚营卫通]]<br>###组成::[[「桂枝」、芍药、生姜、大枣、炙甘草]]<br>###主治::1.[[外感风寒表虚证]]。头痛发热，汗出恶风，或鼻鸣干呕，苔白不渴，脉浮缓或浮弱者<br>2.[[病后、产后、体弱表现的营卫阴阳不和证]]<br>###功用::[[解肌发表，调和营卫]]",用法::上五味，上㕮咀，以水七升，微火煮取三升，去滓，适寒温，服一升。服已须臾，啜热稀粥一升余，以助药力。温覆令一时许，遍身黎禁微似有汗者益佳，不可令如水流滴，病必不除。若一服汗出病瘥，停后服，不必尽剂；若不汗，更服如前法；又不汗，后服小促其间，半日许令三服尽。若病重者，一日一夜服，周时观之。服一剂尽，病证犹在者，更作服；若汗不出，乃服至二三剂。禁生冷、黏滑、肉面、五辛、酒酪、臭恶等物<br>###加减::若见项背强几几，宜加葛根。素有喘病，外感风寒，加厚朴、杏仁；太阳病发汗太过，发奔豚，加重桂枝<br>###方解::<b>「君」：</b>桂枝:助卫阳，通经络，解肌发表而祛在表之风邪(透营达卫，解肌散寒)<br><b>「臣」：</b>芍药:益阴敛营，敛固外泄之营阴。桂芍等量合用(桂枝:芍药=1:1)，寓意有三:一为针对卫强营弱，体现营卫同治，邪正兼顾；二为相辅相成，桂枝得芍药，使汗而有源，芍药得桂枝，则滋而能化；三为相制相成，散中有收，汗中寓补<br><b>「佐」：</b>生姜:助桂枝解表，和胃止呕。大枣:既能益气补中(健脾益气)，协芍药补营阴，可滋脾生津生姜大枣相配:补脾和胃，化气生津，益营助卫<br><b>「佐使」：</b>炙甘草:①益气和中，与桂辛甘化阳扶卫，与芍酸甘化阴助营；②调和诸药特色:仲景群方之冠，滋阴和阳，调和营卫，解肌发汗之总方<br>###注意::表实无汗或表寒里热证，不汗出而烦躁，以及温病初起，见发热口渴，咽痛脉数时，均不宜使用1.本方用于“外证”，当谨遵服法，方能解肌和营卫，否则入里化气和阴阳<br>②.药煎取汁，适寒温服之<br>③.服须臾，吸热粥:借水谷之气充养中焦，不但酿汗，更可使得外邪速去不致复感(助汗祛外邪)<br>④.温覆一时许:避风助汗<br>⑤.遍身微似汗出:肺胃已和，津液得通，营卫和谐，腠理复固，故云“益佳”<br>⑥.至于服后汗出病瘥，停后服；或不效，再服；以及禁生冷黏腻、酒肉、臭恶等，尤其是“不可令如水流漓，病必不除”等均为服解表剂应该注意之通则<br>###特点::外感风寒表虚证基础方。调和营卫，调和阴阳法代表方
recveFKWJuASNS,"<div style=""text-align: center; font-size: 24px;""><b>小青龙汤</b></div>",解表剂::辛温解表剂,"方歌::[[小青龙汤治水气]],[[喘咳呕哕渴利慰]]。<br>[[姜桂麻黄芍药甘]],[[细辛半夏兼五味]]<br>###组成::[[「麻黄」、桂枝、干姜、细辛、半夏、五味子、芍药、炙甘草]]<br>###主治::[[【*外寒内饮证::原文:“伤寒表不解，心下有水气，干呕，发热而咳，或渴，或利，或噎，或小便不利，少腹满，或喘者，小青龙汤主之。”*】]]。恶寒发热，头身疼痛，无汗，喘咳，痰稀量多，胸痞，或干呕，或痰饮咳喘，不得平卧，或身体疼重，头面四肢浮肿，舌苔白滑，脉浮滑或紧。<br>###功用::[[解表散寒，温肺化饮]]",用法::以上八味，以水一斗，先煮麻黄，减二升，去上沫，内诸药。煮取三升，去滓，温服一升<br>###加减::①外邪表闭重，恶寒无汗:重麻、桂；<br>②外寒已解，喘咳未止:去麻、桂；<br>③寒痰水饮重，胸满痰多:重细辛、半夏；<br>④里饮郁热，喘而烦躁:加石膏；<br>⑤郁热伤津口渴:去半夏加瓜蒌根；<br>⑥里饮偏重小便不利，小腹满:去麻黄，加茯苓附方:1.射干麻黄汤(减桂枝、芍药、甘草；增射干、款冬花、紫菀等药)。功用:宣肺祛痰，降气止咳。可解表化饮，祛痰降气之力强，功偏治里。适用于风寒较轻，痰饮郁结，肺气上逆较重者。主治:痰饮郁结，气逆喘咳证。症见咳而上气，喉中有水鸡声者。<br>②.小青龙加石膏汤(加石膏)。功用:解表蠲饮，清热除烦。主治:外感风寒、内有饮邪郁热之证。肺胀，心下有水气。症见咳而上气，烦躁而喘，脉浮者<br>###方解::<b>「君」：</b>麻黄、桂枝相须:发汗解表。麻:宣肺平喘；桂:化气行水化饮<br><b>「臣」：</b>干姜、细辛:①温肺化饮；②助麻桂解表<br><b>「佐」：</b>半夏:燥湿化痰，和胃降逆散结<br><b>佐制：</b>五味子:敛肺止咳喘；芍药:益阴血敛津液。五味子、芍药:和营养血二药与辛散配伍:①散中有收，增强止咳平喘；②防诸药辛散温燥耗气伤津<br><b>「佐使」：</b>炙甘草:①益气和中；②调和药性(辛散酸收)<br>###注意::阴虚干咳无痰或痰热喘咳禁用
recveFKWJuZNqE,"<div style=""text-align: center; font-size: 24px;""><b>九味羌活汤</b></div>",解表剂::辛温解表剂,"方歌::[[九味羌活防风苍]],[[辛芷芎苓草地黄]]。<br>[[发汗祛湿兼清热]],[[分经论治变通良]]<br>###组成::[[「羌活」、防风、苍术、细辛、川芎、白芷、生地黄、黄芩、甘草]]<br>###主治::[[外感风寒湿邪，内有蕴热证]]。恶寒发热，肌表无汗，头痛项强，肢体酸楚疼痛，口苦微渴，舌苔白或微黄，脉浮或浮紧<br>###功用::[[发汗祛湿，兼清里热]]",用法::㕮咀，水煎服。若急汗热服，以羹粥投入；若缓汗温服，而不用汤投之也<br>###加减::①无口苦口渴者，去黄芩、生地黄；<br>②苔白厚腻者，去黄芩、生地黄，重用苍术，加枳壳、厚朴。<br>③附方:大羌活汤(少白芷，多黄连、知母、防己、独活、白术)，清热祛湿之功较强，宜于外感风寒湿邪而兼见里热较甚者。功用:发散风寒，祛湿清热。主治:外感风寒湿邪兼有里热证。症见头痛身重，发热恶寒，口干烦满而渴，舌苔白腻，脉浮数<br>###方解::<b>「君」：</b>羌活:祛风湿，利关节，止痹痛(善祛除在表之风寒湿邪)<br><b>「臣」：</b>防风:①散一身之风；②胜湿止痛苍术:①主人太阴，除湿力强；②祛风散寒防风、苍术:助羌活以发汗除风湿，祛风散寒，除湿止痛<br><b>「佐」：</b>细辛:主人少阴，散寒通络，尤能止痛白芷:主人阳明，祛风散寒，兼能宣痹川芎:主人少阳、厥阴，祛风而能行气活血，宣痹止痛生地、黄芩:①清泄里热；②兼制辛温香燥以防助热伤津<br><b>「使」：</b>炙甘草:调和诸药<br>###注意::风热表证、里热亢盛以及阴虚内热者不宜使用1.寒邪较重，表证重，宜热服并吸热粥助药力，以助酿汗祛邪<br>②.若邪不甚，表证较轻，则不必啜粥，温服即可<br>###特点::外感风寒湿邪，兼有里热常用方。体现“分经论治”思想的代表方
recveFKWJufj6A,"<div style=""text-align: center; font-size: 24px;""><b>香苏散</b></div>",解表剂::辛温解表剂,"方歌::[[香苏散内草陈皮]],[[疏散风寒中理气]]。<br>[[外感风寒兼气滞]],[[寒热无汗胸脘痞]]<br>###组成::[[「紫苏叶」、香附、陈皮、炙甘草]]<br>###主治::[[外感风寒内有气滞证]]。恶寒发热，头痛无汗，胸脘痞闷，不思饮食，舌苔薄白，脉浮<br>###功用::[[疏风散寒，理气和中]]",用法::为粗末。每服三钱，水一盏，煎七分，去滓，不拘时，日三服；若作细末，只服二钱，入盐点服<br>###加减::①(加味香苏散)加荆芥、秦艽、防风、蔓荆子、川穹、生姜，功能发汗解表，主治四时感冒，头痛项强，鼻塞流涕，身体疼痛，发热恶寒或恶风，无汗，舌苔薄白，脉浮；<br>②(香苏葱鼓汤)加葱鼓汤(葱白、淡豆鼓)，功能发汗解表，调气安胎，主治妊妇伤寒<br>###方解::<b>「君」：</b>苏叶:①开腠理而散风寒；②兼芳香化浊，善理肺胃气滞<br><b>「臣」：</b>香附:理三焦之气，与君配伍发汗解表，行气和血<br><b>「佐」：</b>陈皮:理肺脾之气，化湿散滞陈皮、香附合用:调气和血，助君臣以散表畅里<br><b>「使」：</b>炙甘草:和中调药<br>###注意::风寒表实重证非本方所宜
recveFKWJu6dnk,"<div style=""text-align: center; font-size: 24px;""><b>正柴胡饮</b></div>",解表剂::辛温解表剂,"方歌::[[正柴胡饮景岳方]],[[芍药陈草生姜防]]。<br>[[疏散风寒效平和]],[[风寒轻证服之康]]<br>###组成::[[「柴胡」、防风、陈皮、芍药、甘草、生姜]]<br>###主治::[[【*外感风寒轻证::《景岳全书》:“凡外感风寒，发热恶寒，头痛身痛，痰疟初起等证，凡血气平和，宜从平散者，此方主之。*】]]。微恶风寒，发热，无汗，头痛身痛，舌苔薄白，脉浮<br>###功用::[[解表散寒]]",用法::水一盅半，煎七八分，热服
recveFKWJuxck1,"<div style=""text-align: center; font-size: 24px;""><b>大青龙汤</b></div>",解表剂::辛温解表剂,"方歌::[[大青龙汤桂麻黄]],[[杏草石膏姜枣藏]]。<br>[[太阳无汗兼烦躁]],[[发表清里此方良]]<br>###组成::[[「麻黄」、桂枝、炙甘草、杏仁、石膏、生姜、大枣]]<br>###主治::1.[[外感风寒，内有郁热证。恶寒发热]]，头身疼痛不汗出而烦躁，脉浮紧<br>2.[[溢饮]]。身体疼重，或四肢浮肿，恶寒身热，无汗，烦，脉浮紧<br>###功用::[[发汗解表，兼清里热]]",用法::上七味，以水九升，先煮麻黄，减二升，去上沫，内诸药，煮取三升，去滓，温服一升，取微似汗。汗出多者，温粉扑之。一服汗者，停后服。若复服，汗多亡阳，遂虚，恶风烦躁，不得眠也<br>###注意::表虚者不可用，原书强调:“若脉微弱，汗出恶风者，不可服。”本方发汗之功居解表诸方之冠，故“一服得汗者，停后服”，以防过剂；原书要求“取微似汗”，“汗出多者，温粉扑之”
recveFKWJu316M,"<div style=""text-align: center; font-size: 24px;""><b>射干麻黄汤</b></div>",解表剂::辛温解表剂,"方歌::[[射干麻黄与生姜]],[[细辛紫菀款冬藏]]。<br>[[大枣半夏五味子]],[[寒饮喘咳水鸡降]]<br>###组成::[[射干、麻黄、生姜、细辛、紫菀、款冬花、大枣、半夏、五味子]]<br>###主治::[[痰饮/寒饮郁结，气逆喘咳证]]。症见咳而上气，喉中有水鸡声者<br>###功用::[[宣肺祛痰，降(下)气止咳]]",用法::上九味，以水一斗二升，先煮麻黄两沸，去上沫，内诸药，煮取三升，分温三服
recveFKWJuLq8T,"<div style=""text-align: center; font-size: 24px;""><b>荆防败毒散</b></div>",解表剂::辛温解表剂,"方歌::[[荆防败毒【*二活胡::二活:羌活,独活；二胡:前胡,柴胡*】]],[[枳桔苓芎甘草需]]。<br>[[发汗解表消疮痛]],[[疮肿初起表证除]]<br>###组成::[[羌活、独活、柴胡、前胡、枳壳、茯苓、荆芥、防风、桔梗、川芎、甘草]]<br>###主治::[[疮肿初起]]。症见红肿疼痛，恶寒发热，无汗不渴，舌苔薄白，脉浮数<br>###功用::[[发汗解表，消疮止痛]]",用法::用水一盅半，煎至八分，温服
recveFKWJuDt6I,"<div style=""text-align: center; font-size: 24px;""><b>银翘散</b></div>",解表剂::辛凉解表剂,"方歌::[[银翘散主上焦病]],[[竹叶荆牛豉薄荷]]。<br>[[甘桔芦根凉解法]],[[辛凉透表热毒瘥]]<br>###组成::[[「连翘」、「银花」、苦桔梗、薄荷、竹叶、生甘草、荆芥穗、淡豆豉、牛蒡子、鲜苇根]]<br>###主治::[[温病初起(邪在卫分)]]。发热无汗，或有汗不畅，微恶风寒，头痛口渴，咳嗽咽痛，舌尖红，苔薄白或薄黄，脉浮数<br>###功用::[[辛凉透表，清热解毒]]",用法::上杵为散，每服六钱，鲜苇根汤煎，香气大出，即取服，勿过煮。肺药取轻清，过煮则味厚而入中焦矣。病重者，约二时一服，日三服，夜一服；轻者三时一服，日二服，夜一服；病不解者，作再服<br>###加减::原书加减法:“胸膈闷者，加霍香三钱，郁金三钱，护膻中；渴甚者，加花粉(清热生津)；项肿咽痛者，加马勃、元参(清热解毒)；衄者，去芥穗、豆豉(因其辛温发散而动血)，加白茅根三钱，侧柏炭三钱，栀子炭三钱(清热凉血以止衄咳者)；咳者，加杏仁利肺气；二三日病犹在肺，热渐入里，加细生地、麦冬保津液；再不解，或小便短者，加知母、黄芩、栀子之苦寒，与麦、地之甘寒，合化阴气，而治热淫所胜”<br>###方解::<b>「君」：</b>银花、连翘:①辛凉疏散风热；②清热解毒；③芳香辟秽<br><b>「臣」：</b>薄荷、牛蒡子:①疏散风热；②清利头目；③解毒利咽荆芥穗、淡豆豉:解表散邪，助君药透散以助祛邪<br><b>「佐」：</b>芦根:清肺生津以止渴；竹叶:清泄上焦以除烦。芦根、竹叶:清热生津桔梗:宣肺利咽<br><b>「佐使」：</b>甘草:①清热解毒，合桔梗利咽；②调和药性<br>###注意::药物多芳香轻宣之品，不宜久煎，“过煮则味厚入中焦”<br>###特点::体现治上焦如羽，非轻莫举。辛凉平剂代表方
