ID,Chapter,Question,Type,Options,Answer,ClozeText,AnswerText,Analysis,Refrence
recuNmi7BHs1Xq,黄帝内经篇::一级,1. 形与神俱(《素问·上古天真论》),词语解释题,,,,形体与精神健全协调。俱，偕也，有共存、协调之意。,“形与神俱”中的“形”指形体，“神”指精神、神志。“俱”意为共存、协调。此句强调形体与精神相互依存、和谐统一的状态，是人体健康的理想境界。《素问·上古天真论》主张养生需使形神相偕，避免偏废，方能长寿。答案从形神关系及“俱”的释义切入，符合原文主旨。,《素问·上古天真论》曰：“上古之人，其知道者，法于阴阳，和于术数……故能形与神俱，而尽终其天年，度百岁乃去。”此处“形与神俱”直接点明形神调和为养生的核心要求。
recuNmjdras61M,黄帝内经篇::一级,2. 春夏养阳，秋冬养阴(《素问·四气调神大论》),词语解释题,,,,春夏顺从生长之气蓄养阳气，秋冬顺从收藏之气蓄养阴气。即春养生，夏养长，秋养收，冬养藏。,春夏养阳指顺应春夏生长之气来蓄养阳气，秋冬养阴指顺应秋冬收藏之气来蓄养阴气。其本质是通过春养生机、夏护成长、秋调收敛、冬固闭藏的时序规律，实现阴阳平衡的养生法则。,夫四时阴阳者，万物之根本也。所以圣人春夏养阳，秋冬养阴，以从其根，故与万物沉浮于生长之门。
recuNmjdraXJPF,黄帝内经篇::一级,3. 阳气者，精则养神，柔则养筋(《素问·生气通天论》),词语解释题,,,,当做‘养神则精，养筋则柔’理解。即阳气养神则人精明聪慧；养筋则筋脉柔和，屈伸自如。,此句需采用倒装句式理解，强调阳气的双重作用。阳气充足时，其精华部分可滋养心神，使人精神清明、思维敏捷（精则养神）；其柔和部分能濡养筋脉，使筋脉柔韧、活动自如（柔则养筋）。此语揭示了阳气通过不同特性对人体不同组织产生的差异化滋养效果。,出自《素问·生气通天论》，原文为“阳气者，精则养神，柔则养筋。开阖不得，寒气从之，乃生大偻”。该篇强调阳气对人体的调控作用，此处通过“精”“柔”分述阳气在维持神志活动与肢体运动中的具体表现。
recuNmjdrapwcW,黄帝内经篇::一级,4. 气虚宜挚引之(《素问·阴阳应象大论》),词语解释题,,,,气虚者，用升提补气法。挚引，即升提补气法。,该题考查对《素问·阴阳应象大论》中治疗原则的理解。“气虚宜挚引之”指气虚证当用升提补气法。因气具有温煦、推动、固摄等作用，气虚时气机下陷，需通过升提药物（如黄芪、升麻、柴胡）助气上行，恢复气机升降平衡。挚（掣）引即升提法，对应“陷者举之”的治疗大法。,《素问·阴阳应象大论》云：“气虚宜掣引之。”（注：传世本多作“气虚宜掣引之”，挚、掣古通，皆含提挈牵引之意。王冰注：“掣，读为导，导引则气行条畅。”）
recuNmjdra6fxE,黄帝内经篇::一级,5. 治节出焉(《素问·灵兰秘典论》),词语解释题,,,,治理、调节，张介宾曰：‘肺主气，气调则营卫脏腑无所不治，故曰治节出焉。’节，制也。,此题为对《素问·灵兰秘典论》中“治节出焉”的注解考察，需结合肺的生理功能及张介宾注文理解。肺为相傅之官，主气司呼吸，通过宣发肃降功能调节全身气机与营卫运行，故“治节”指肺对脏腑功能的治理与节制的双重调控作用。,《素问·灵兰秘典论》曰：“肺者，相傅之官，治节出焉。”张介宾《类经》注：“肺主气，气调则营卫脏腑无所不治，故曰治节出焉。节，制也。”
recuNmjdraDutO,黄帝内经篇::一级,6. 封藏之本(《素问·六节藏象论》),词语解释题,,,,肾应冬气主闭藏，是人体封闭潜藏功能之根本，以维护人体精气固守而不妄泄。,在《素问·六节藏象论》中，“封藏之本”指肾脏的功能特性。肾与冬季相应，冬季主闭藏，故肾具有潜藏、固守人体精气的功能，是维持生命活动精微物质不妄泄的根本。答案强调肾通过闭藏机制保障精气的内守，体现了“藏象”理论中脏腑与自然气候的对应关系。,肾者主蛰，封藏之本，精之处也。（《素问·六节藏象论》）
recuNmjdraaWNj,黄帝内经篇::一级,7. 去宛陈垄(《素问·汤液醪醴论》),词语解释题,,,,谓去除郁积的水液与瘀血。张介宾曰：‘宛，积也。陈，久也。垄，斩草也。’,该题考查对“去宛陈垄”一词的理解，出自《素问·汤液醪醴论》。“去”指去除，“宛”通“郁”，意为积滞；“陈”指久留；“垄”通“壅”，引申为瘀阻。全句意为通过祛除体内郁积的水湿与瘀血以通利气血。张介宾注“宛，积也；陈，久也；垄，斩草也”，强调治疗需清除病理产物的原则。,《素问·汤液醪醴论》：“平治于权衡，去宛陈垄……开鬼门，洁净府，精以时服。”
recuNmjdraZC1L,黄帝内经篇::一级,8. 开鬼门，洁净府(《素问·汤液醪醴论》),词语解释题,,,,开鬼门，一为发汗利水法，二为通便利水法。鬼门，一指汗孔，张介宾曰：‘鬼门，汗空也。’二指肛门，‘鬼’字疑为‘魄’的坏字，魄，通‘粕’。洁净府，指利小便法。净府指膀胱。,开鬼门，即通过发汗或通便的方法祛除水湿邪气。其中“鬼门”一释为汗孔（张介宾注），二释为肛门（疑“鬼”为“魄”的讹字，魄门即肛门）。洁净府指通利膀胱，使小便通畅以排除水邪，净府即膀胱。此治法体现了《内经》治疗水肿“去宛陈莝”的原则。,《素问·汤液醪醴论》：“平治于权衡，去宛陈莝……开鬼门，洁净府，精以时服。”张介宾注：“鬼门，汗空也。”另《素问·五脏别论》：“魄门亦为五脏使，水谷不得久藏。”
recuNmjdraicFR,黄帝内经篇::一级,9. 头者精明之府(《素问·脉要精微论》),词语解释题,,,,即精气上注形成五官七窍的视听嗅味等功能。张介宾曰：“五脏六腑之精气，皆上升于头，以成七窍之用，故头为精明之府。”,“头者精明之府”指头部是五脏六腑之精气汇聚之处，形成五官七窍的视听嗅味等功能。张介宾的注解进一步阐明，五脏六腑的精气上注于头部，使七窍发挥感知作用，故称头为“精明之府”。此句强调头部与精气、感官功能的密切关联。,《素问·脉要精微论》：“头者精明之府，头倾视深，精神将夺矣。”
recuNmjdrao0rM,黄帝内经篇::一级,10. 喉主天气，咽主地气(《素问·太阴阳明论》),词语解释题,,,,喉主天气，咽主地气：喉司呼吸，故主天气；咽纳水谷，故主地气。,喉主天气，咽主地气：喉司呼吸，故主天气；咽纳水谷，故主地气。此句阐明喉与咽的生理功能差异。喉属肺系，主呼吸而通天气（自然界清气），属阳；咽属胃系，主受纳水谷而通地气（水谷之气），属阴。体现中医天人相应及脏腑分工理论。,《素问·太阴阳明论》“喉主天气，咽主地气。”其注释多引申为“喉司呼吸以应天，咽纳水谷以应地”，与脾胃升清降浊、肺主气司呼吸的功能相呼应。
