主字段,章节,等级,知识解析,拓展解析
中医学定义,中医基础理论::绪论::中医学的基本概念,1,定义::以[[整体观念]]为指导思想，以[[脏腑经络]]的生理和病理为基础，以[[辨证论治]]为诊疗特点，研究人的生命规律以及疾病的发生、发展和防治规律<br>###核心::三大核心要素：整体观念（思想指导）、脏腑经络（理论基础）、辨证论治（临床特色）,研究::兼研究养生、康复等促进健康、延长寿命的方法
理论体系形成基础与标志,中医基础理论::绪论::形成与发展::先秦至汉,1,基础::①[[古代自然科学]]的渗透；②[[古代哲学思想]]的影响；③对生命现象的长期观察；④长期医疗经验的积累<br>###标志::【《黄帝内经》】【《难经》】【《伤寒杂病论》】【《神农本草经》】等著作的问世,早期::《山海经》记载[[38种]]疾病；《五十二病方》记载[[52种]]病证，病名103个
《黄帝内经》,中医基础理论::绪论::形成与发展::先秦至汉,1,地位::中医学理论体系[[初步形成]]的标志，是理论体系形成的基础与源泉<br>###内容::构建了中医学理论体系基本框架；建立以[[五脏为中心]]的功能系统；创立[[经络学说]]<br>###贡献::奠定[[藏象经络理论]]基础；提出[[治未病]]观点；提出诊病[[四德]],调节::以精、气、血、津液、神的作用维系和调节脏腑形体官窍的生理功能
《难经》,中医基础理论::绪论::形成与发展::先秦至汉,2,脉学::对脉学特别是[[寸口脉诊]]有较详细而系统的论述和创见<br>###理论::阐扬和发展藏象理论中[[命门]]、[[三焦]]以及经络理论,地位::补充《内经》不足，与《内经》同为后世指导临床实践的理论基础
《伤寒杂病论》,中医基础理论::绪论::形成与发展::先秦至汉,1,作者::张机（字仲景），后世尊称[[医圣]]<br>###地位::中医学第一部[[辨证论治]]专著，确立了辨证论治理论体系<br>###内容::《伤寒论》创造性提出[[六经辨证]]理论；《金匮要略》以脏腑论内伤杂病,方剂::创立了对外感、内伤疾病的辨证纲领和治疗方剂，后世尊为[[医方之祖]]<br>###病因::千般疢难不越三条：经络受邪入脏腑（内因）、血脉壅塞（外因）、房室金刃虫兽所伤（不内外因），给后世三因学说以深刻影响
《神农本草经》,中医基础理论::绪论::形成与发展::先秦至汉,1,地位::现存最早的[[药学专著]]，收载药物[[365种]]，分上中下三品<br>###药性::奠定中药学[[四气五味]]药性理论基础：寒、凉、温、热四性；酸、苦、甘、辛、咸五味<br>###原则::明确[[治寒以热药，治热以寒药]]的用药原则,配伍::提出[[七情和合]]的药物配伍理论
《脉经》,中医基础理论::绪论::形成与发展::晋,2,作者::王叔和<br>###地位::第一部[[脉学专著]]<br>###内容::提倡[[寸口诊法]]；论述[[24种]]病脉的脉象形态及所主病证；提出[[八组相类脉]]的脉象鉴别,影响::推动了寸口脉诊法的普遍应用
《针灸甲乙经》,中医基础理论::绪论::形成与发展::晋,2,作者::皇甫谧<br>###地位::现存最早的[[针灸学专著]]<br>###内容::系统阐述藏象、经络、[[腧穴]]、标本、[[九针]]、刺法、诊法、病证、治法等,应用::详述针灸用针形状制作、针灸禁忌、经络与孔穴部位考订、临床适应证与操作方法
《肘后备急方》,中医基础理论::绪论::形成与发展::晋,2,作者::葛洪<br>###地位::第一部[[临床急症]]著作<br>###内容::论述外感热病、传染性疾病、皮肤病、疮疡外科及骨伤科病,"贡献::记载""青蒿一握，以水二升绞取汁，尽服之""治寒热病及各种疟疾"
《诸病源候论》,中医基础理论::绪论::形成与发展::隋,2,作者::巢元方<br>###地位::第一部[[病因病机证候学]]专著<br>###内容::以[[1729论]]分述诸科病证的病因、病机和症状，尤重于病源研究,"创见::指出疥疮由[[疥虫]]所致；寸白虫因食不熟牛肉造成；传染病由自然界[[乖戾之气]]引起，有""转相染易""特点<br>###调护::诸证之末多附有【[*导引法::通过呼吸吐纳和肢体运动来养生治病的方法*]】"
《千金方》,中医基础理论::绪论::形成与发展::唐,2,作者::孙思邈，后世尊为[[药王]]<br>###地位::包括《备急千金要方》与《千金翼方》，是我国第一部[[医学百科全书]]<br>###内容::涉及脏腑之论、针灸之法、脉证之辨、食治之宜、养生之术、备急之方等,伦理::提出[[大医精诚]]为医学道德准则，开创中国医学伦理学之先河<br>###方剂::《备急千金要方》保存唐以前大量古方，对方剂学发展作出重大贡献
《小儿药证直诀》,中医基础理论::绪论::形成与发展::宋,2,"作者::钱乙<br>###贡献::开创[[脏腑证治]]先河，将五脏辨证方法运用于临床实践<br>###体质::小儿""[[血气未实]]""""五脏六腑，成而未全，全而未壮""<br>###病机::""[[脏腑柔弱]]，易虚易实，易寒易热""",治法::治疗强调[[补泻要同时调理]]以善其后
三因学说,中医基础理论::绪论::形成与发展::宋,1,作者::陈无择《三因极一病证方论》<br>###分类::[[外感六淫]]为外因；[[七情内伤]]为内因；饮食所伤、虫兽所伤、跌打损伤等为[[不内外因]],影响::以病因与病证相结合的方法系统阐述三因理论，对后世病因学发展影响深远
金元四大家,中医基础理论::绪论::形成与发展::金元时期,1,概述::[[刘完素]]、[[张从正]]、[[李杲]]、[[朱震亨]]，后人尊称为[[金元四大家]]<br>###意义::对中医理论和实践有突破性创新，对中医学发展起到里程碑作用,派别::刘完素—寒凉派；张从正—攻邪派；李杲—补土派；朱震亨—滋阴派
刘完素,中医基础理论::绪论::形成与发展::金元时期,1,"派别::[[寒凉派]]<br>###著作::《素问玄机原病式》<br>###主张::主火论，提出""[[六气皆从火化]]""""[[五志过极皆能化火]]""为外感和内伤疾病主要病机",治法::治疗中多用[[寒凉药]]
张从正,中医基础理论::绪论::形成与发展::金元时期,1,"派别::[[攻下派]]（攻邪派）<br>###著作::《儒门事亲》<br>###主张::力倡攻邪论，提出""[[病由邪生]]""，邪非人身所有，""[[邪去正自安]]""","治法::""养生当论食补，[[治病当用药攻]]""，多用[[汗、吐、下]]三法"
李杲,中医基础理论::绪论::形成与发展::金元时期,1,"派别::[[补土派]]<br>###著作::《脾胃论》<br>###主张::力倡脾胃论，提出""[[内伤脾胃，百病由生]]""""胃虚，元气不足，诸病所生""",师承::师从[[张元素]]（易水学派创始人）<br>###治法::强调[[胃气]]对发病的决定性作用，善用温补脾胃之法，对脾胃升降理论多有阐发
朱震亨,中医基础理论::绪论::形成与发展::金元时期,1,"派别::[[滋阴派]]（养阴派）<br>###著作::《格致余论》<br>###主张::力倡相火论，主张""[[阳常有余，阴常不足]]""","相火::生理相火有""[[生生不息]]""功能；相火妄动属病理邪火，能煎熬真阴<br>###治法::善用[[滋阴降火]]，善用养阴药"
